ノナン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,のなん,ノナン,ノナン
デカン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,でかん,デカン,デカン
ウンデカン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,うんでかん,ウンデカン,ウンデカン
ドデカン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,どでかん,ドデカン,ドデカン
エチレン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,えちれん,エチレン,エチレン
プロピレン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,ぷろぴれん,プロピレン,プロピレン
アセチレン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,あせちれん,アセチレン,アセチレン
カプロン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,かぷろん,カプロン,カプロン
カプリル,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,かぷりる,カプリル,カプリル
カプリン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,かぷりん,カプリン,カプリン
ラウリン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,らうりん,ラウリン,ラウリン
ミリスチン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,みりすちん,ミリスチン,ミリスチン
パルミチン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,ぱるみちん,パルミチン,パルミチン
セタン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,せたん,セタン,セタン
ステアリン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,すてありん,ステアリン,ステアリン
オレイン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,おれいん,オレイン,オレイン
リノレン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,りのれん,リノレン,リノレン
メテン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,めてん,メテン,メテン
エテン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,えてん,エテン,エテン
プロペン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,ぷろぺん,プロペン,プロペン
ブテン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,ぶてん,ブテン,ブテン
ペンテン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,ぺんてん,ペンテン,ペンテン
ヘキセン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,へきせん,ヘキセン,ヘキセン
ヘプテン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,へぷてん,ヘプテン,ヘプテン
オクテン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,おくてん,オクテン,オクテン
ノネン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,のねん,ノネン,ノネン
デケン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,でけん,デケン,デケン
ウンデケン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,うんでけん,ウンデケン,ウンデケン
ドデケン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,どでけん,ドデケン,ドデケン
セテン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,せてん,セテン,セテン
メタジエン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,めたじえん,メタジエン,メタジエン
エタジエン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,えたじえん,エタジエン,エタジエン
プロパジエン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,ぷろぱじえん,プロパジエン,プロパジエン
ブタジエン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,ぶたじえん,ブタジエン,ブタジエン
ペンタジエン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,ぺんたじえん,ペンタジエン,ペンタジエン
ヘキサジエン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,へきさじえん,ヘキサジエン,ヘキサジエン
ヘプタジエン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,へぷたじえん,ヘプタジエン,ヘプタジエン
オクタジエン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,おくたじえん,オクタジエン,オクタジエン
ノナジエン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,のなじえん,ノナジエン,ノナジエン
デカジエン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,でかじえん,デカジエン,デカジエン
ウンデカジエン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,うんでかじえん,ウンデカジエン,ウンデカジエン
ドデカジエン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,どでかじえん,ドデカジエン,ドデカジエン
エチレジエン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,えちれじえん,エチレジエン,エチレジエン
プロピレジエン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,ぷろぴれじえん,プロピレジエン,プロピレジエン
アセチレジエン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,あせちれじえん,アセチレジエン,アセチレジエン
カプロジエン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,かぷろじえん,カプロジエン,カプロジエン
カプリジエン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,かぷりじえん,カプリジエン,カプリジエン
ラウリジエン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,らうりじえん,ラウリジエン,ラウリジエン
ミリスチジエン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,みりすちじえん,ミリスチジエン,ミリスチジエン
パルミチジエン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,ぱるみちじえん,パルミチジエン,パルミチジエン
セタジエン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,せたじえん,セタジエン,セタジエン
ステアリジエン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,すてありじえん,ステアリジエン,ステアリジエン
オレイジエン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,おれいじえん,オレイジエン,オレイジエン
リノレジエン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,りのれじえん,リノレジエン,リノレジエン
メタトリエン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,めたとりえん,メタトリエン,メタトリエン
エタトリエン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,えたとりえん,エタトリエン,エタトリエン
プロパトリエン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,ぷろぱとりえん,プロパトリエン,プロパトリエン
ブタトリエン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,ぶたとりえん,ブタトリエン,ブタトリエン
ペンタトリエン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,ぺんたとりえん,ペンタトリエン,ペンタトリエン
ヘキサトリエン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,へきさとりえん,ヘキサトリエン,ヘキサトリエン
ヘプタトリエン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,へぷたとりえん,ヘプタトリエン,ヘプタトリエン
オクタトリエン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,おくたとりえん,オクタトリエン,オクタトリエン
ノナトリエン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,のなとりえん,ノナトリエン,ノナトリエン
デカトリエン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,でかとりえん,デカトリエン,デカトリエン
ウンデカトリエン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,うんでかとりえん,ウンデカトリエン,ウンデカトリエン
ドデカトリエン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,どでかとりえん,ドデカトリエン,ドデカトリエン
エチレトリエン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,えちれとりえん,エチレトリエン,エチレトリエン
プロピレトリエン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,ぷろぴれとりえん,プロピレトリエン,プロピレトリエン
アセチレトリエン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,あせちれとりえん,アセチレトリエン,アセチレトリエン
カプロトリエン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,かぷろとりえん,カプロトリエン,カプロトリエン
カプリトリエン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,かぷりとりえん,カプリトリエン,カプリトリエン
